ID	Gene	week0.1	week4.1
ATP7B_4	ATP7B	50	76
ATP7B_5	ATP7B	20	22
ATR_1	ATR	40	20
ATR_2	ATR	4	0
ATR_3	ATR	23	28
ATR_4	ATR	5	4
ATR_5	ATR	13	10
BCL2L1_1	BCL2L1	0	0
BCL2L1_2	BCL2L1	57	108
BCL2L1_3	BCL2L1	7	2
BCL2L1_4	BCL2L1	112	107
BCL2L1_5	BCL2L1	6	21
BCL6B_1	BCL6B	0	1
BCL6B_2	BCL6B	0	3
BCL6B_3	BCL6B	4	4
BCL6B_4	BCL6B	17	16
BCL6B_5	BCL6B	12	5
BECN1_1	BECN1	2	14
BECN1_2	BECN1	14	29
BECN1_3	BECN1	13	7
BECN1_4	BECN1	9	17
BECN1_5	BECN1	9	13
BRCA2_1	BRCA2	15	29
BRCA2_2	BRCA2	6	2
BRCA2_3	BRCA2	24	22
BRCA2_4	BRCA2	4	12
BRCA2_5	BRCA2	7	1
C1R_1	C1R	1	2
C1R_2	C1R	1	6
C1R_3	C1R	11	14
C1R_4	C1R	27	38
C1R_5	C1R	42	51
CADM1_1	CADM1	37	44
CADM1_2	CADM1	27	26
CADM1_3	CADM1	5	1
CADM1_4	CADM1	20	29
CADM1_5	CADM1	23	16
CCND1_1	CCND1	11	8
CCND1_2	CCND1	0	0
CCND1_3	CCND1	24	18
CCND1_4	CCND1	57	54
CCND1_5	CCND1	0	2
CDH4_1	CDH4	57	54
CDH4_2	CDH4	35	24
CDH4_3	CDH4	37	42
CDH4_4	CDH4	25	19
CDH4_5	CDH4	13	16
CELF1_1	CELF1	2	1
CELF1_2	CELF1	32	24
CELF1_3	CELF1	38	52
CELF1_4	CELF1	29	17
CELF1_5	CELF1	22	7
CLEC2B_1	CLEC2B	105	142
CLEC2B_2	CLEC2B	30	53
CLEC2B_3	CLEC2B	48	63
CLEC2B_4	CLEC2B	2	3
CLEC2B_5	CLEC2B	2	1
CLSTN2_1	CLSTN2	8	8
CLSTN2_2	CLSTN2	8	5
CLSTN2_3	CLSTN2	95	110
CLSTN2_4	CLSTN2	2	3
CLSTN2_5	CLSTN2	7	10
CLSTN2_6	CLSTN2	7	4
CLSTN2_7	CLSTN2	16	16
CLSTN2_8	CLSTN2	6	5
CLSTN2_9	CLSTN2	42	12
CLSTN2_10	CLSTN2	32	54
CLSTN3_1	CLSTN3	7	6
CLSTN3_2	CLSTN3	9	3
CLSTN3_3	CLSTN3	23	7
CLSTN3_4	CLSTN3	6	6
CLSTN3_5	CLSTN3	12	21
DAG1_1	DAG1	14	14
DAG1_2	DAG1	18	14
DAG1_3	DAG1	3	1
DAG1_4	DAG1	9	11
DAG1_5	DAG1	1	5
DMD_1	DMD	41	30
DMD_2	DMD	5	3
DMD_3	DMD	6	2
DMD_4	DMD	9	18
DMD_5	DMD	10	9
DMD_6	DMD	108	112
DMD_7	DMD	5	5
DMD_8	DMD	14	11
DMD_9	DMD	11	5
DMD_10	DMD	20	25
DNAH6_1	DNAH6	15	7
DNAH6_2	DNAH6	14	16
DNAH6_3	DNAH6	35	26
DNAH6_4	DNAH6	9	17
DNAH6_5	DNAH6	14	15
DNAH6_6	DNAH6	11	17
DNAH6_7	DNAH6	24	33
DNAH6_8	DNAH6	10	13
DNAH6_9	DNAH6	4	6
DNAH6_10	DNAH6	7	15
DSCAML1_1	DSCAML1	20	38
DSCAML1_2	DSCAML1	14	22
DSCAML1_3	DSCAML1	16	19
DSCAML1_4	DSCAML1	20	18
DSCAML1_5	DSCAML1	4	2
DSCAML1_6	DSCAML1	12	7
DSCAML1_7	DSCAML1	34	30
DSCAML1_8	DSCAML1	1	1
DSCAML1_9	DSCAML1	9	16
DSCAML1_10	DSCAML1	1	1
DTNB_1	DTNB	5	4
DTNB_2	DTNB	14	7
DTNB_3	DTNB	6	13
DTNB_4	DTNB	32	35
DTNB_5	DTNB	9	11
DTNB_6	DTNB	52	37
DTNB_7	DTNB	20	17
DTNB_8	DTNB	14	48
DTNB_9	DTNB	1	4
DTNB_10	DTNB	30	37
E2F2_1	E2F2	12	8
E2F2_2	E2F2	11	4
E2F2_3	E2F2	9	12
E2F2_4	E2F2	14	16
E2F2_5	E2F2	5	3
EHMT2_1	EHMT2	6	8
EHMT2_2	EHMT2	5	9
EHMT2_3	EHMT2	5	8
EHMT2_4	EHMT2	11	5
EHMT2_5	EHMT2	8	11
EIF2AK4_1	EIF2AK4	33	29
EIF2AK4_2	EIF2AK4	28	30
EIF2AK4_3	EIF2AK4	55	50
EIF2AK4_4	EIF2AK4	14	26
EIF2AK4_5	EIF2AK4	40	28
EIF2AK4_6	EIF2AK4	12	14
EIF2AK4_7	EIF2AK4	2	2
EIF2AK4_8	EIF2AK4	25	17
EIF2AK4_9	EIF2AK4	15	22
EIF2AK4_10	EIF2AK4	36	43
EIF3G_1	EIF3G	17	5
EIF3G_2	EIF3G	18	7
EIF3G_3	EIF3G	3	0
EIF3G_4	EIF3G	4	3
EIF3G_5	EIF3G	16	11
EIF5B_1	EIF5B	9	1
EIF5B_2	EIF5B	58	74
EIF5B_3	EIF5B	2	1
EIF5B_4	EIF5B	28	18
EIF5B_5	EIF5B	10	14
ENDOD1_1	ENDOD1	3	8
ENDOD1_2	ENDOD1	6	3
ENDOD1_3	ENDOD1	12	16
ENDOD1_4	ENDOD1	26	43
ENDOD1_5	ENDOD1	8	17
ENDOD1_6	ENDOD1	7	7
ENDOD1_7	ENDOD1	5	7
ENDOD1_8	ENDOD1	12	28
ENDOD1_9	ENDOD1	23	28
ENDOD1_10	ENDOD1	16	11
EPC1_1	EPC1	26	38
EPC1_2	EPC1	15	38
EPC1_3	EPC1	3	4
EPC1_4	EPC1	8	11
EPC1_5	EPC1	12	10
EPHA2_1	EPHA2	73	84
EPHA2_2	EPHA2	10	13
EPHA2_3	EPHA2	6	8
EPHA2_4	EPHA2	6	8
EPHA2_5	EPHA2	42	42
ERCC1_1	ERCC1	21	7
ERCC1_2	ERCC1	4	1
ERCC1_3	ERCC1	9	3
ERCC1_4	ERCC1	33	47
ERCC1_5	ERCC1	17	12
ETV6_1	ETV6	6	2
ETV6_2	ETV6	67	84
ETV6_3	ETV6	7	17
ETV6_4	ETV6	36	53
ETV6_5	ETV6	28	44
FAM188A_1	FAM188A	8	18
FAM188A_2	FAM188A	138	142
FAM188A_3	FAM188A	25	17
FAM188A_4	FAM188A	23	12
FAM188A_5	FAM188A	29	33
FBN1_1	FBN1	18	21
FBN1_2	FBN1	74	61
FBN1_3	FBN1	21	14
FBN1_4	FBN1	8	12
FBN1_5	FBN1	39	49
FBN1_6	FBN1	4	8
FBN1_7	FBN1	18	22
FBN1_8	FBN1	111	88
FBN1_9	FBN1	2	2
FBN1_10	FBN1	1	0
FBXL7_1	FBXL7	2	7
FBXL7_2	FBXL7	13	14
FBXL7_3	FBXL7	2	4
FBXL7_4	FBXL7	0	7
FBXL7_5	FBXL7	5	3
FBXL7_6	FBXL7	5	12
FBXL7_7	FBXL7	9	8
FBXL7_8	FBXL7	33	28
FBXL7_9	FBXL7	9	9
FBXL7_10	FBXL7	25	11
FHOD3_1	FHOD3	22	10
FHOD3_2	FHOD3	1	2
FHOD3_3	FHOD3	15	18
FHOD3_4	FHOD3	6	1
FHOD3_5	FHOD3	27	73
FHOD3_6	FHOD3	8	5
FHOD3_7	FHOD3	0	0
FHOD3_8	FHOD3	78	84
FHOD3_9	FHOD3	10	16
FHOD3_10	FHOD3	15	11
FSIP1_1	FSIP1	10	9
FSIP1_2	FSIP1	23	21
FSIP1_3	FSIP1	11	6
FSIP1_4	FSIP1	47	84
FSIP1_5	FSIP1	23	18
FSIP1_6	FSIP1	34	35
FSIP1_7	FSIP1	49	59
FSIP1_8	FSIP1	7	9
FSIP1_9	FSIP1	98	131
FSIP1_10	FSIP1	30	36
GALNT5_1	GALNT5	28	28
GALNT5_2	GALNT5	33	28
GALNT5_3	GALNT5	13	12
GALNT5_4	GALNT5	0	4
GALNT5_5	GALNT5	35	48
GALNT5_6	GALNT5	21	20
GALNT5_7	GALNT5	15	24
GALNT5_8	GALNT5	25	24
GALNT5_9	GALNT5	42	50
GALNT5_10	GALNT5	20	8
GLTSCR2_1	GLTSCR2	13	0
GLTSCR2_2	GLTSCR2	5	0
GLTSCR2_3	GLTSCR2	12	7
GLTSCR2_4	GLTSCR2	19	8
GLTSCR2_5	GLTSCR2	20	28
GRIA1_1	GRIA1	11	10
GRIA1_2	GRIA1	12	9
GRIA1_3	GRIA1	0	2
GRIA1_4	GRIA1	2	4
GRIA1_5	GRIA1	4	3
GRIA1_6	GRIA1	0	0
GRIA1_7	GRIA1	0	2
GRIA1_8	GRIA1	41	87
GRIA1_9	GRIA1	14	30
GRIA1_10	GRIA1	9	15
GRIA2_1	GRIA2	0	0
GRIA2_2	GRIA2	36	54
GRIA2_3	GRIA2	14	9
GRIA2_4	GRIA2	10	1
GRIA2_5	GRIA2	6	2
H19_1	H19	9	28
H19_2	H19	24	17
H19_3	H19	2	1
H19_4	H19	46	51
H19_5	H19	12	11
H19_6	H19	16	22
H19_7	H19	105	125
H19_8	H19	19	17
H19_9	H19	17	8
H19_10	H19	27	24
HNRNPM_1	HNRNPM	17	28
HNRNPM_2	HNRNPM	38	43
HNRNPM_3	HNRNPM	5	0
HNRNPM_4	HNRNPM	2	6
HNRNPM_5	HNRNPM	33	35
IK_1	IK	15	17
IK_2	IK	7	6
IK_3	IK	12	15
IK_4	IK	31	35
IK_5	IK	35	32
ING5_1	ING5	3	5
ING5_2	ING5	4	5
ING5_3	ING5	18	18
ING5_4	ING5	31	39
ING5_5	ING5	1	4
KARS_1	KARS	31	28
KARS_2	KARS	2	2
KARS_3	KARS	5	2
KARS_4	KARS	12	12
KARS_5	KARS	25	19
KEAP1_1	KEAP1	19	23
KEAP1_2	KEAP1	7	6
KEAP1_3	KEAP1	21	25
KEAP1_4	KEAP1	46	77
KEAP1_5	KEAP1	25	30
LATS1_1	LATS1	20	14
LATS1_2	LATS1	12	23
LATS1_3	LATS1	18	32
LATS1_4	LATS1	8	11
LATS1_5	LATS1	15	18
LCP1_1	LCP1	30	28
LCP1_2	LCP1	30	37
LCP1_3	LCP1	6	7
LCP1_4	LCP1	6	6
LCP1_5	LCP1	0	0
MEOX1_1	MEOX1	31	32
MEOX1_2	MEOX1	13	24
MEOX1_3	MEOX1	1	6
MEOX1_4	MEOX1	18	12
MEOX1_5	MEOX1	9	2
MEOX1_6	MEOX1	7	16
MEOX1_7	MEOX1	25	37
MEOX1_8	MEOX1	20	15
MEOX1_9	MEOX1	31	34
MEOX1_10	MEOX1	1	0
MSMO1_1	MSMO1	3	8
MSMO1_2	MSMO1	30	26
MSMO1_3	MSMO1	11	8
MSMO1_4	MSMO1	43	66
MSMO1_5	MSMO1	19	46
NF1_1	NF1	14	22
NF1_2	NF1	0	0
NF1_3	NF1	13	2
NF1_4	NF1	14	13
NF1_5	NF1	8	4
NFE2L2_1	NFE2L2	43	21
NFE2L2_2	NFE2L2	31	22
NFE2L2_3	NFE2L2	26	27
NFE2L2_4	NFE2L2	7	14
NFE2L2_5	NFE2L2	7	19
NHP2L1_1	NHP2L1	43	18
NHP2L1_2	NHP2L1	0	0
NHP2L1_3	NHP2L1	9	5
NHP2L1_4	NHP2L1	0	4
NHP2L1_5	NHP2L1	4	0
OR5V1_1	OR5V1	21	18
OR5V1_2	OR5V1	8	3
OR5V1_3	OR5V1	13	19
OR5V1_4	OR5V1	47	63
OR5V1_5	OR5V1	24	19
OSBPL3_1	OSBPL3	32	48
OSBPL3_2	OSBPL3	156	166
OSBPL3_3	OSBPL3	14	19
OSBPL3_4	OSBPL3	0	0
OSBPL3_5	OSBPL3	8	8
OSBPL3_6	OSBPL3	15	10
OSBPL3_7	OSBPL3	0	1
OSBPL3_8	OSBPL3	54	66
OSBPL3_9	OSBPL3	59	46
OSBPL3_10	OSBPL3	13	29
OVCH2_1	OVCH2	21	20
OVCH2_2	OVCH2	12	3
OVCH2_3	OVCH2	5	2
OVCH2_4	OVCH2	79	80
OVCH2_5	OVCH2	22	16
OVCH2_6	OVCH2	115	160
OVCH2_7	OVCH2	12	31
OVCH2_8	OVCH2	21	23
OVCH2_9	OVCH2	25	22
OVCH2_10	OVCH2	35	39
PAX5_1	PAX5	42	62
PAX5_2	PAX5	5	10
PAX5_3	PAX5	34	47
PAX5_4	PAX5	32	30
PAX5_5	PAX5	47	42
PCDHGC4_1	PCDHGC4	14	21
PCDHGC4_2	PCDHGC4	2	1
PCDHGC4_3	PCDHGC4	57	78
PCDHGC4_4	PCDHGC4	54	49
PCDHGC4_5	PCDHGC4	5	7
PEAK1_1	PEAK1	83	112
PEAK1_2	PEAK1	72	52
PEAK1_3	PEAK1	88	129
PEAK1_4	PEAK1	37	46
PEAK1_5	PEAK1	75	90
PEAK1_6	PEAK1	73	66
PEAK1_7	PEAK1	129	132
PEAK1_8	PEAK1	131	192
PEAK1_9	PEAK1	27	42
PEAK1_10	PEAK1	36	55
PIK3CG_1	PIK3CG	11	14
PIK3CG_2	PIK3CG	4	2
PIK3CG_3	PIK3CG	43	34
PIK3CG_4	PIK3CG	27	47
PIK3CG_5	PIK3CG	11	16
PIK3CG_6	PIK3CG	27	23
PIK3CG_7	PIK3CG	1	1
PIK3CG_8	PIK3CG	21	17
PIK3CG_9	PIK3CG	13	18
PIK3CG_10	PIK3CG	3	7
PLK1_1	PLK1	12	1
PLK1_2	PLK1	8	7
PLK1_3	PLK1	46	25
PLK1_4	PLK1	24	14
PLK1_5	PLK1	11	2
PLXNB2_1	PLXNB2	4	6
PLXNB2_2	PLXNB2	3	10
PLXNB2_3	PLXNB2	38	55
PLXNB2_4	PLXNB2	13	31
PLXNB2_5	PLXNB2	4	5
PPAP2C_1	PPAP2C	14	9
PPAP2C_2	PPAP2C	8	10
PPAP2C_3	PPAP2C	11	10
PPAP2C_4	PPAP2C	1	4
PPAP2C_5	PPAP2C	22	11
PPIL2_1	PPIL2	46	7
PPIL2_2	PPIL2	31	7
PPIL2_3	PPIL2	21	25
PPIL2_4	PPIL2	1	0
PPIL2_5	PPIL2	3	3
PPP1R2P9_1	PPP1R2P9	4	2
PPP1R2P9_2	PPP1R2P9	17	24
PPP1R2P9_3	PPP1R2P9	10	6
PPP1R2P9_4	PPP1R2P9	57	52
PPP1R2P9_5	PPP1R2P9	31	29
PPP1R2P9_6	PPP1R2P9	64	96
PPP1R2P9_7	PPP1R2P9	15	30
PPP1R2P9_8	PPP1R2P9	16	15
PPP1R2P9_9	PPP1R2P9	13	18
PPP1R2P9_10	PPP1R2P9	84	81
PRDM1_1	PRDM1	34	23
PRDM1_2	PRDM1	41	22
PRDM1_3	PRDM1	1	0
PRDM1_4	PRDM1	16	11
PRDM1_5	PRDM1	5	3
PTCH1_1	PTCH1	13	24
PTCH1_2	PTCH1	32	32
PTCH1_3	PTCH1	17	15
PTCH1_4	PTCH1	9	6
PTCH1_5	PTCH1	8	5
PTEN_1	PTEN	15	39
PTEN_2	PTEN	11	3
PTEN_3	PTEN	5	7
PTEN_4	PTEN	5	17
PTEN_5	PTEN	20	12
PTEN_6	PTEN	55	62
PTEN_7	PTEN	2	0
PTEN_8	PTEN	7	10
PTEN_9	PTEN	7	5
PTEN_10	PTEN	15	11
RAMP1_1	RAMP1	8	20
RAMP1_2	RAMP1	7	10
RAMP1_3	RAMP1	4	1
RAMP1_4	RAMP1	54	32
RAMP1_5	RAMP1	23	17
RAMP1_6	RAMP1	22	8
RAMP1_7	RAMP1	29	33
RAMP1_8	RAMP1	21	15
RAMP1_9	RAMP1	14	17
RAMP1_10	RAMP1	11	10
RB1_1	RB1	32	27
RB1_2	RB1	19	45
RB1_3	RB1	65	61
RB1_4	RB1	32	27
RB1_5	RB1	2	5
RBM5_1	RBM5	13	24
RBM5_2	RBM5	16	32
RBM5_3	RBM5	39	48
RBM5_4	RBM5	19	17
RBM5_5	RBM5	16	8
RNF43_1	RNF43	4	3
RNF43_2	RNF43	6	0
RNF43_3	RNF43	2	5
RNF43_4	RNF43	6	4
RNF43_5	RNF43	25	14
RNF111_1	RNF111	22	8
RNF111_2	RNF111	3	3
RNF111_3	RNF111	16	7
RNF111_4	RNF111	0	3
RNF111_5	RNF111	27	34
RNF111_6	RNF111	5	5
RNF111_7	RNF111	3	0
RNF111_8	RNF111	12	5
RNF111_9	RNF111	13	32
RNF111_10	RNF111	31	60
RPL3_1	RPL3	14	17
RPL3_2	RPL3	1	5
RPL3_3	RPL3	2	1
RPL3_4	RPL3	12	12
RPL3_5	RPL3	5	2
RPL3_6	RPL3	7	15
RPL3_7	RPL3	28	28
RPL3_8	RPL3	35	43
RPL3_9	RPL3	12	21
RPL3_10	RPL3	5	0
RPL5_1	RPL5	4	3
RPL5_2	RPL5	11	13
RPL5_3	RPL5	5	22
RPL5_4	RPL5	27	46
RPL5_5	RPL5	6	1
RPL5_6	RPL5	61	92
RPL5_7	RPL5	28	25
RPL5_8	RPL5	21	34
RPL5_9	RPL5	2	9
RPL5_10	RPL5	16	8
RPL8_1	RPL8	0	0
RPL8_2	RPL8	2	0
RPL8_3	RPL8	18	9
RPL8_4	RPL8	7	1
RPL8_5	RPL8	39	2
RPL8_6	RPL8	17	22
RPL8_7	RPL8	7	13
RPL8_8	RPL8	30	37
RPL8_9	RPL8	6	12
RPL8_10	RPL8	23	23
RPL13_1	RPL13	1	2
RPL13_2	RPL13	12	3
RPL13_3	RPL13	1	1
RPL13_4	RPL13	3	6
RPL13_5	RPL13	8	17
RPL13_6	RPL13	4	5
RPL13_7	RPL13	71	105
RPL13_8	RPL13	10	2
RPL13_9	RPL13	5	15
RPL13_10	RPL13	25	19
RPL14_1	RPL14	14	22
RPL14_2	RPL14	73	104
RPL14_3	RPL14	17	29
RPL14_4	RPL14	6	16
RPL14_5	RPL14	17	22
RPL14_6	RPL14	9	2
RPL14_7	RPL14	16	14
RPL14_8	RPL14	3	1
RPL14_9	RPL14	99	143
RPL14_10	RPL14	17	11
RPL18A_1	RPL18A	2	2
RPL18A_2	RPL18A	23	19
RPL18A_3	RPL18A	0	2
RPL18A_4	RPL18A	68	78
RPL18A_5	RPL18A	1	4
RPL18A_6	RPL18A	22	25
RPL18A_7	RPL18A	38	21
RPL18A_8	RPL18A	70	74
RPL18A_9	RPL18A	26	43
RPL18A_10	RPL18A	14	7
RPL21_1	RPL21	22	32
RPL21_2	RPL21	63	64
RPL21_3	RPL21	4	5
RPL21_4	RPL21	25	17
RPL21_5	RPL21	7	10
RPL21_6	RPL21	10	13
RPL21_7	RPL21	11	6
RPL21_8	RPL21	82	59
RPL21_9	RPL21	11	15
RPL21_10	RPL21	10	11
RPL23A_1	RPL23A	13	38
RPL23A_2	RPL23A	113	36
RPL23A_3	RPL23A	3	2
RPL23A_4	RPL23A	11	14
RPL23A_5	RPL23A	10	13
RPL23A_6	RPL23A	8	2
RPL23A_7	RPL23A	16	10
RPL23A_8	RPL23A	13	18
RPL23A_9	RPL23A	3	4
RPL23A_10	RPL23A	22	25
RPL23_1	RPL23	27	18
RPL23_2	RPL23	17	31
RPL23_3	RPL23	3	3
RPL23_4	RPL23	5	9
RPL23_5	RPL23	12	10
RPL23_6	RPL23	0	0
RPL23_7	RPL23	8	13
RPL23_8	RPL23	0	1
RPL23_9	RPL23	23	35
RPL23_10	RPL23	21	27
RPL30_1	RPL30	20	12
RPL30_2	RPL30	16	17
RPL30_3	RPL30	33	22
RPL30_4	RPL30	0	2
RPL30_5	RPL30	6	6
RPL30_6	RPL30	21	14
RPL30_7	RPL30	8	14
RPL30_8	RPL30	17	21
RPL30_9	RPL30	45	42
RPL30_10	RPL30	17	15
RPL34_1	RPL34	1	0
RPL34_2	RPL34	37	46
RPL34_3	RPL34	27	23
RPL34_4	RPL34	1	2
RPL34_5	RPL34	5	0
RPL34_6	RPL34	14	18
RPL34_7	RPL34	12	8
RPL34_8	RPL34	83	59
RPL34_9	RPL34	0	0
RPL34_10	RPL34	9	12
RPL37A_1	RPL37A	2	3
RPL37A_2	RPL37A	16	7
RPL37A_3	RPL37A	5	6
RPL37A_4	RPL37A	15	18
RPL37A_5	RPL37A	2	14
RPL37A_6	RPL37A	1	2
RPL37A_7	RPL37A	21	25
RPL37A_8	RPL37A	2	0
RPL37A_9	RPL37A	8	9
RPL37A_10	RPL37A	1	2
RPL37_1	RPL37	11	11
RPL37_2	RPL37	6	8
RPL37_3	RPL37	2	4
RPL37_4	RPL37	38	13
RPL37_5	RPL37	15	27
RPL37_6	RPL37	5	3
RPL37_7	RPL37	1	6
RPL37_8	RPL37	11	11
RPL37_9	RPL37	20	16
RPL37_10	RPL37	9	10
RPL39_1	RPL39	2	4
RPL39_2	RPL39	7	2
RPL39_3	RPL39	25	12
RPL39_4	RPL39	17	24
RPL39_5	RPL39	10	10
RPL39_6	RPL39	2	3
RPL39_7	RPL39	5	15
RPL39_8	RPL39	13	3
RPL39_9	RPL39	4	1
RPL39_10	RPL39	26	5
RPS3A_1	RPS3A	30	13
RPS3A_2	RPS3A	7	21
RPS3A_3	RPS3A	1	2
RPS3A_4	RPS3A	51	49
RPS3A_5	RPS3A	10	10
RPS3A_6	RPS3A	28	41
RPS3A_7	RPS3A	9	18
RPS3A_8	RPS3A	2	2
RPS3A_9	RPS3A	0	3
RPS3A_10	RPS3A	15	8
RPS6_1	RPS6	43	43
RPS6_2	RPS6	26	47
RPS6_3	RPS6	64	63
RPS6_4	RPS6	12	25
RPS6_5	RPS6	41	58
RPS6_6	RPS6	20	17
RPS6_7	RPS6	5	2
RPS6_8	RPS6	6	3
RPS6_9	RPS6	56	50
RPS6_10	RPS6	48	38
RPS7_1	RPS7	1	2
RPS7_2	RPS7	7	29
RPS7_3	RPS7	4	2
RPS7_4	RPS7	19	15
RPS7_5	RPS7	31	28
RPS7_6	RPS7	6	4
RPS7_7	RPS7	24	16
RPS7_8	RPS7	10	2
RPS7_9	RPS7	24	24
RPS7_10	RPS7	5	2
RPS9_1	RPS9	34	15
RPS9_2	RPS9	5	2
RPS9_3	RPS9	36	66
RPS9_4	RPS9	3	9
RPS9_5	RPS9	13	12
RPS9_6	RPS9	9	5
RPS9_7	RPS9	0	3
RPS9_8	RPS9	19	36
RPS9_9	RPS9	2	1
RPS9_10	RPS9	37	34
RPS15A_1	RPS15A	12	28
RPS15A_2	RPS15A	35	18
RPS15A_3	RPS15A	4	1
