id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RPL23	3	0.013187	0.061463	1.0	23	3	-0.70073	0.98681	0.98283	1.0	544	0	-0.70073
candidate645	4	0.01319	0.068117	1.0	24	3	-0.69698	0.30912	0.45347	1.0	235	1	-0.69698
RPS6	5	0.013512	0.078001	1.0	25	3	-0.4073	0.035546	0.098658	0.900437	55	1	-0.4073
EHMT2	2	0.013599	0.044578	1.0	26	2	-0.5473	0.91889	0.91376	1.0	502	0	-0.5473
GRIA2	3	0.015707	0.063948	1.0	27	1	0.038132	0.43739	0.47253	1.0	291	1	0.038132
TSSSLC7A1	3	0.017799	0.075802	1.0	28	3	-0.8738	0.97608	0.9725	1.0	534	0	-0.8738
PPIL2	4	0.019296	0.082576	1.0	29	3	-1.0044	0.97061	0.96938	1.0	526	0	-1.0044
TSSRRM2B	2	0.019317	0.059433	1.0	30	2	-0.419	0.98068	0.97749	1.0	541	0	-0.419
candidate655	4	0.019351	0.082586	1.0	31	2	-0.64786	0.26373	0.41327	1.0	208	1	-0.64786
PPAP2C	5	0.019609	0.09234	1.0	32	3	-1.0885	0.46071	0.60412	1.0	301	1	-1.0885
RSL24D1	2	0.019784	0.059433	1.0	33	1	-0.56926	0.58745	0.59579	1.0	354	0	-0.56926
candidate984	5	0.022217	0.10705	1.0	34	2	0.10227	0.38216	0.54548	1.0	273	2	0.10227
candidate504	6	0.022314	0.10121	1.0	35	3	-0.4378	0.95325	0.95664	1.0	513	0	-0.4378
candidate656	4	0.023681	0.1005	1.0	36	2	-0.58941	0.56841	0.62624	1.0	348	1	-0.58941
TSSBECN1	3	0.023915	0.09282	1.0	37	3	-0.50026	0.97608	0.9725	1.0	535	0	-0.50026
ATP7A	3	0.025024	0.094821	1.0	38	2	-2.4266	0.96804	0.96675	1.0	522	0	-2.4266
ADAT1	4	0.025453	0.10152	1.0	39	2	-0.057931	0.11122	0.18961	0.939709	127	2	-0.057931
TSSCADM1	4	0.025873	0.10152	1.0	40	3	-0.91463	0.17711	0.28169	1.0	164	1	-0.91463
PTCH1	5	0.026659	0.1204	1.0	41	3	-0.57684	0.80057	0.81852	1.0	439	1	-0.57684
candidate67	2	0.027843	0.07294	1.0	42	2	-0.54723	0.97216	0.9683	1.0	530	0	-0.54723
LCP1	2	0.028761	0.07449	1.0	43	2	-0.63043	0.97124	0.96659	1.0	527	0	-0.63043
TSSXPA	1	0.029435	0.030932	1.0	44	1	-0.58913	0.97057	0.96907	1.0	525	0	-0.58913
candidate511	5	0.030371	0.13533	1.0	45	3	-0.34717	0.49174	0.6375	1.0	320	2	-0.34717
CADM1	2	0.030642	0.07496	1.0	46	2	-1.2839	0.96936	0.96605	1.0	523	0	-1.2839
TSSCCND1	4	0.034117	0.12394	1.0	47	3	-0.60112	0.91138	0.90816	1.0	497	0	-0.60112
DMD	4	0.034117	0.12394	1.0	48	3	-1.2882	0.22519	0.33047	1.0	185	1	-1.2882
TSSRBM5	4	0.034117	0.12394	1.0	49	3	-0.62744	0.66528	0.70173	1.0	383	1	-0.62744
candidate946	4	0.034629	0.12725	1.0	50	1	0.057854	0.48348	0.56482	1.0	315	1	0.057854
TSSLATS1	3	0.035106	0.11239	1.0	51	2	-0.4351	0.8928	0.88801	1.0	487	0	-0.4351
candidate776	6	0.035327	0.15815	1.0	52	3	-0.38917	0.7618	0.8148	1.0	421	1	-0.38917
candidate633	5	0.035546	0.14028	1.0	53	2	0.46582	0.020301	0.068652	0.900437	34	2	0.46582
candidate718	4	0.036147	0.12726	1.0	54	2	-0.34882	0.47775	0.56059	1.0	311	1	-0.34882
LATS1	4	0.036773	0.12726	1.0	55	2	-0.38525	0.06613	0.13321	0.900437	89	2	-0.38525
candidate613	4	0.037663	0.12726	1.0	56	1	0.067431	0.81706	0.83302	1.0	445	0	0.067431
candidate796	4	0.038311	0.12866	1.0	57	3	-0.76028	0.98423	0.98486	1.0	543	0	-0.76028
TSSBCL6B	3	0.038672	0.1124	1.0	58	1	-0.05645	0.3322	0.40409	1.0	248	1	-0.05645
GLTSCR2	3	0.039547	0.11376	1.0	59	2	-0.82225	0.45279	0.48709	1.0	299	1	-0.82225
TSSCELF1	3	0.040289	0.11377	1.0	60	2	-1.0111	0.69979	0.72137	1.0	397	0	-1.0111
DSCAML1	4	0.04069	0.13092	1.0	61	1	-0.17493	0.12329	0.20787	0.94398	135	1	-0.17493
candidate566	4	0.040775	0.13092	1.0	62	3	-0.62495	0.86	0.86357	1.0	475	0	-0.62495
candidate676	4	0.041146	0.13092	1.0	63	3	-0.3398	0.28881	0.43734	1.0	220	1	-0.3398
candidate58	5	0.041214	0.15453	1.0	64	2	-0.098375	0.64596	0.72063	1.0	377	1	-0.098375
TSSSLC24A1	4	0.041825	0.13302	1.0	65	3	-1.0603	0.98001	0.97998	1.0	538	0	-1.0603
candidate6	6	0.042026	0.16885	1.0	66	4	-0.49602	0.72013	0.79664	1.0	405	1	-0.49602
candidate554	4	0.042495	0.14765	1.0	67	3	-0.39429	0.34504	0.48108	1.0	255	1	-0.39429
candidate94	4	0.043104	0.14765	1.0	68	3	-0.41715	0.10836	0.18759	0.939709	124	1	-0.41715
TSSNFE2L2	3	0.04345	0.11654	1.0	69	2	-0.56727	0.50025	0.53608	1.0	326	1	-0.56727
candidate748	2	0.043569	0.09134	1.0	70	2	-0.49555	0.94335	0.93524	1.0	511	0	-0.49555
TSSATR	4	0.045216	0.14766	1.0	71	1	-0.71124	0.98001	0.97998	1.0	540	0	-0.71124
candidate942	3	0.045491	0.12147	1.0	72	1	-0.013414	0.41067	0.44858	1.0	285	1	-0.013414
candidate585	4	0.046722	0.14924	1.0	73	1	-0.13698	0.67979	0.70559	1.0	392	1	-0.13698
candidate685	5	0.047873	0.15727	1.0	74	2	0.29347	0.28358	0.4211	1.0	217	2	0.29347
candidate720	3	0.050019	0.1304	1.0	75	2	-0.51276	0.76826	0.77132	1.0	426	0	-0.51276
candidate508	4	0.05018	0.15721	1.0	76	3	-0.74749	0.98765	0.98654	1.0	545	0	-0.74749
candidate740	4	0.051544	0.15878	1.0	77	2	-0.36181	0.86388	0.86692	1.0	476	0	-0.36181
candidate510	5	0.053241	0.17739	1.0	78	3	-0.32569	0.3654	0.5273	1.0	265	1	-0.32569
candidate71	3	0.053848	0.13913	1.0	79	2	-1.1015	0.84946	0.85118	1.0	468	0	-1.1015
candidate575	5	0.054507	0.17834	1.0	80	2	0.43281	0.16932	0.30446	1.0	162	3	0.43281
candidate627	4	0.05697	0.1635	1.0	81	3	-0.46428	0.63843	0.67635	1.0	375	1	-0.46428
candidate726	5	0.057953	0.17835	1.0	82	2	0.032867	0.37973	0.54547	1.0	271	2	0.032867
candidate530	4	0.058701	0.16677	1.0	83	1	-0.20783	0.48821	0.56482	1.0	319	1	-0.20783
candidate503	4	0.058906	0.16839	1.0	84	2	-0.086744	0.30563	0.45346	1.0	229	2	-0.086744
RPS3A	3	0.060229	0.15082	1.0	85	2	-0.36594	0.90115	0.89633	1.0	492	0	-0.36594
candidate616	5	0.061483	0.18225	1.0	86	2	-0.283	0.33994	0.5126	1.0	254	1	-0.283
candidate606	3	0.062398	0.15082	1.0	87	1	-0.034379	0.24899	0.37558	1.0	200	1	-0.034379
candidate641	4	0.063969	0.17332	1.0	88	3	-0.85806	0.95498	0.9504	1.0	514	0	-0.85806
ATR	4	0.064028	0.17504	1.0	89	3	-0.46286	0.49944	0.56692	1.0	322	1	-0.46286
candidate654	4	0.074814	0.19279	1.0	90	2	-0.24006	0.79898	0.81841	1.0	438	0	-0.24006
TGFBR2	4	0.07499	0.19369	1.0	91	3	-0.45509	0.51865	0.58944	1.0	332	1	-0.45509
SMAD4	3	0.077353	0.15729	1.0	92	2	-0.34532	0.95723	0.95907	1.0	516	0	-0.34532
candidate987	5	0.077639	0.20506	1.0	93	3	-0.33869	0.46133	0.60413	1.0	303	2	-0.33869
TSSCDH4	2	0.078356	0.13805	1.0	94	2	-0.70935	0.92164	0.91704	1.0	504	0	-0.70935
RPS26	4	0.078492	0.20166	1.0	95	3	-0.41166	0.89942	0.90089	1.0	491	0	-0.41166
candidate955	3	0.079104	0.16419	1.0	96	2	-0.85388	0.65239	0.67047	1.0	379	1	-0.85388
candidate519	3	0.080211	0.16419	1.0	97	1	-0.024388	0.52274	0.55047	1.0	335	1	-0.024388
BRCA2	4	0.080927	0.20348	1.0	98	3	-0.51621	0.83712	0.84021	1.0	463	0	-0.51621
candidate631	7	0.081956	0.26757	1.0	99	4	-0.61496	0.93965	0.94856	1.0	510	0	-0.61496
candidate771	3	0.082973	0.16419	1.0	100	1	-0.040055	0.50429	0.53609	1.0	329	1	-0.040055
candidate525	5	0.083787	0.21147	1.0	101	1	-0.031249	0.30132	0.4603	1.0	225	1	-0.031249
NFE2L2	3	0.086505	0.1642	1.0	102	2	-0.57236	0.31599	0.39469	1.0	241	1	-0.57236
candidate719	3	0.087897	0.1642	1.0	103	2	-0.19928	0.36256	0.41763	1.0	264	1	-0.19928
candidate601	4	0.088154	0.21016	1.0	104	1	0.031758	0.76283	0.78538	1.0	422	1	0.031758
candidate63	7	0.088514	0.273	1.0	105	3	-0.074622	0.87467	0.9015	1.0	479	1	-0.074622
candidate931	5	0.089266	0.2324	1.0	106	3	-0.395	0.23609	0.37663	1.0	189	1	-0.395
TSSBCL2L1	2	0.090263	0.15745	1.0	107	1	-0.53148	0.89147	0.89308	1.0	485	0	-0.53148
ETV6	5	0.094314	0.23709	1.0	108	2	0.10467	0.16271	0.28731	1.0	158	1	0.10467
RPS7	5	0.094775	0.23709	1.0	109	3	-0.23709	0.98359	0.98146	1.0	542	0	-0.23709
candidate517	4	0.095408	0.21923	1.0	110	2	-0.30108	0.50222	0.56903	1.0	327	1	-0.30108
DNAH6	5	0.096439	0.23935	1.0	111	1	-0.088938	0.71963	0.76284	1.0	404	1	-0.088938
candidate62	4	0.099019	0.22426	1.0	112	2	-0.3472	0.95619	0.95199	1.0	515	0	-0.3472
RPL5	5	0.10003	0.25123	1.0	113	1	-0.26355	0.19587	0.34419	1.0	171	2	-0.26355
candidate527	4	0.10118	0.22664	1.0	114	2	-0.36964	0.87324	0.88026	1.0	478	0	-0.36964
candidate774	6	0.10182	0.25104	1.0	115	2	0.016904	0.5002	0.65585	1.0	325	1	0.016904
candidate757	5	0.10361	0.25123	1.0	116	1	0.084503	0.3978	0.54951	1.0	276	2	0.084503
candidate500	5	0.10408	0.25124	1.0	117	2	0.13422	0.82431	0.83554	1.0	454	1	0.13422
TSSC1R	3	0.10626	0.19111	1.0	118	2	-0.36602	0.83477	0.82854	1.0	461	0	-0.36602
candidate699	4	0.10965	0.24473	1.0	119	2	-0.25132	0.55709	0.61794	1.0	343	1	-0.25132
TSSTP53	2	0.11097	0.16234	1.0	120	1	0.20499	0.080196	0.12761	0.900437	104	1	0.20499
TSSEHMT2	4	0.11122	0.24473	1.0	121	1	-0.29591	0.70522	0.73096	1.0	400	1	-0.29591
candidate793	3	0.11159	0.19875	1.0	122	2	-0.49009	0.43179	0.47011	1.0	289	1	-0.49009
OVCH2	3	0.11192	0.19875	1.0	123	1	0.29291	0.053143	0.087904	0.900437	70	2	0.29291
candidate98	3	0.11217	0.19875	1.0	124	2	-0.35621	0.9343	0.93043	1.0	508	0	-0.35621
candidate701	5	0.1129	0.25649	1.0	125	2	0.36613	0.06584	0.15302	0.900437	88	3	0.36613
candidate502	5	0.11339	0.2565	1.0	126	2	-0.24522	0.15847	0.28031	1.0	154	1	-0.24522
WT1	5	0.11339	0.2565	1.0	127	2	0.21575	0.24132	0.37664	1.0	193	2	0.21575
ADAM17	4	0.11476	0.24473	1.0	128	2	-0.52898	0.91658	0.91843	1.0	499	0	-0.52898
RPL13	5	0.11611	0.2565	1.0	129	2	0.044918	0.49433	0.63926	1.0	321	1	0.044918
candidate783	6	0.11669	0.27757	1.0	130	2	0.12295	0.37097	0.56606	1.0	267	2	0.12295
candidate581	4	0.11691	0.24473	1.0	131	2	-0.34585	0.42045	0.53831	1.0	286	1	-0.34585
CCND1	4	0.11813	0.24474	1.0	132	2	-0.21245	0.31139	0.45347	1.0	237	2	-0.21245
candidate704	4	0.11813	0.24474	1.0	133	2	-0.27514	0.88053	0.88172	1.0	483	0	-0.27514
candidate617	4	0.11975	0.24474	1.0	134	1	0.022012	0.61726	0.6555	1.0	365	1	0.022012
candidate557	5	0.12031	0.26973	1.0	135	3	-0.4018	0.12132	0.2111	0.94398	133	1	-0.4018
candidate54	4	0.12048	0.24474	1.0	136	2	-0.19939	0.70864	0.73096	1.0	401	1	-0.19939
candidate620	6	0.12054	0.28739	1.0	137	3	-0.51517	0.67805	0.77445	1.0	391	1	-0.51517
candidate670	6	0.12054	0.28739	1.0	138	3	-0.071491	0.057501	0.14218	0.900437	76	3	-0.071491
candidate949	4	0.12117	0.24474	1.0	139	1	0.17354	0.074987	0.14089	0.900437	98	2	0.17354
candidate531	6	0.12163	0.29482	1.0	140	2	-0.28664	0.26987	0.44589	1.0	209	2	-0.28664
candidate544	5	0.12261	0.26974	1.0	141	2	-0.10644	0.3567	0.52729	1.0	259	2	-0.10644
candidate608	5	0.12276	0.26974	1.0	142	3	-0.30745	0.12491	0.21535	0.94398	138	2	-0.30745
SRGAP2	4	0.12681	0.24845	1.0	143	2	-0.33084	0.84898	0.85034	1.0	467	0	-0.33084
UCK1	3	0.12721	0.22749	1.0	144	2	-0.34283	0.02321	0.05761	0.900437	40	1	-0.34283
candidate507	6	0.1316	0.29727	1.0	145	3	-0.2411	0.21826	0.37296	1.0	182	2	-0.2411
candidate901	4	0.13357	0.25538	1.0	146	2	-0.34814	0.13803	0.22941	0.94398	144	1	-0.34814
candidate711	4	0.13523	0.26596	1.0	147	1	0.26679	0.29989	0.45346	1.0	224	2	0.26679
candidate743	5	0.13664	0.29678	1.0	148	2	-0.20959	0.96688	0.96681	1.0	520	0	-0.20959
candidate610	4	0.1396	0.26856	1.0	149	2	-0.35119	0.33476	0.47278	1.0	251	1	-0.35119
candidate77	5	0.14049	0.30541	1.0	150	2	-0.1826	0.81388	0.82517	1.0	443	1	-0.1826
PRDM1	2	0.14158	0.17694	1.0	151	1	-0.43163	0.77433	0.76752	1.0	429	0	-0.43163
candidate515	5	0.1421	0.30679	1.0	152	3	-0.30538	0.81716	0.82855	1.0	446	1	-0.30538
candidate900	5	0.14221	0.30816	1.0	153	1	0.32336	0.24132	0.37664	1.0	194	2	0.32336
candidate722	4	0.1436	0.26856	1.0	154	1	-0.055724	0.3232	0.46077	1.0	244	1	-0.055724
RPL37	4	0.14775	0.26857	1.0	155	1	0.28907	0.12127	0.20674	0.94398	132	2	0.28907
TSSPPIL2	4	0.14913	0.26857	1.0	156	1	0.081492	0.72171	0.7438	1.0	406	1	0.081492
candidate967	4	0.15052	0.26857	1.0	157	1	-0.36499	0.62329	0.66372	1.0	369	1	-0.36499
candidate668	4	0.15419	0.26857	1.0	158	2	0.043386	0.30498	0.45346	1.0	227	2	0.043386
candidate539	7	0.15505	0.3426	1.0	159	2	-0.0030845	0.91813	0.93181	1.0	501	1	-0.0030845
candidate586	5	0.15518	0.33558	1.0	160	3	-0.35755	0.9764	0.97486	1.0	536	0	-0.35755
candidate966	4	0.15533	0.27566	1.0	161	2	-0.34254	0.55963	0.6222	1.0	346	1	-0.34254
candidate717	6	0.15536	0.33578	1.0	162	3	-0.34568	0.74804	0.81348	1.0	416	1	-0.34568
candidate569	5	0.15593	0.34263	1.0	163	3	-0.24833	0.26244	0.40834	1.0	206	2	-0.24833
candidate501	5	0.15606	0.34263	1.0	164	2	-0.38424	0.52249	0.65614	1.0	334	1	-0.38424
candidate779	5	0.16077	0.34264	1.0	165	3	-0.41469	0.67748	0.7368	1.0	390	1	-0.41469
ALDH16A1	4	0.16253	0.27857	1.0	166	2	-0.28525	0.069089	0.13322	0.900437	91	1	-0.28525
candidate588	4	0.16894	0.29452	1.0	167	2	-0.38732	0.97133	0.96995	1.0	528	0	-0.38732
candidate534	4	0.17129	0.29618	1.0	168	2	-0.46899	0.96139	0.95741	1.0	517	0	-0.46899
candidate600	5	0.1728	0.35534	1.0	169	1	0.22109	0.33412	0.50815	1.0	249	2	0.22109
SESN2	4	0.17643	0.29784	1.0	170	1	-0.033161	0.90699	0.90593	1.0	494	0	-0.033161
TSSIK	2	0.17979	0.2116	1.0	171	1	-1.1048	0.48513	0.498	1.0	316	1	-1.1048
TSSERCC1	3	0.18023	0.28963	1.0	172	2	-0.51101	0.30824	0.39468	1.0	233	1	-0.51101
RNF43	4	0.1832	0.30112	1.0	173	2	0.25452	0.0023371	0.0047782	0.655152	5	2	0.25452
candidate792	6	0.18467	0.37393	1.0	174	3	-0.24969	0.25627	0.43204	1.0	203	1	-0.24969
candidate749	5	0.18616	0.35535	1.0	175	2	-0.10885	0.31366	0.48783	1.0	238	2	-0.10885
candidate626	4	0.1865	0.30113	1.0	176	1	-0.089838	0.89731	0.90088	1.0	488	0	-0.089838
candidate592	4	0.1865	0.30113	1.0	177	1	-0.12588	0.82352	0.83657	1.0	453	0	-0.12588
candidate635	6	0.18729	0.38014	1.0	178	3	-0.094885	0.40719	0.59916	1.0	279	2	-0.094885
ERCC1	3	0.18768	0.29278	1.0	179	2	-0.35423	0.30733	0.39468	1.0	231	1	-0.35423
RRM2B	3	0.18798	0.29278	1.0	180	1	0.3172	0.46752	0.50834	1.0	307	1	0.3172
candidate595	4	0.18833	0.30598	1.0	181	2	-0.097974	0.64922	0.68454	1.0	378	1	-0.097974
candidate682	6	0.19143	0.3912	1.0	182	3	-0.30652	0.81937	0.84903	1.0	447	1	-0.30652
candidate518	6	0.19778	0.40405	1.0	183	1	0.090786	0.25281	0.41756	1.0	202	3	0.090786
ASAP	5	0.1985	0.36568	1.0	184	2	-0.031512	0.35655	0.52729	1.0	257	1	-0.031512
ABCA13	3	0.20119	0.30466	1.0	185	2	-0.32955	0.63804	0.65017	1.0	374	1	-0.32955
OSBPL3	6	0.20659	0.41061	1.0	186	3	-0.24929	0.72575	0.79955	1.0	407	1	-0.24929
candidate756	5	0.21257	0.37899	1.0	187	2	0.58776	0.020571	0.068652	0.900437	35	3	0.58776
TSSPCDHGC4	2	0.21507	0.24903	1.0	188	1	-0.62798	0.72932	0.7235	1.0	409	0	-0.62798
candidate658	5	0.21988	0.379	1.0	189	2	-0.14766	0.93034	0.93267	1.0	507	0	-0.14766
candidate604	4	0.22245	0.33809	1.0	190	2	-0.20551	0.62179	0.65956	1.0	367	1	-0.20551
TSSSNRNP200	2	0.22505	0.25399	1.0	191	1	-0.018257	0.08505	0.13319	0.900437	108	1	-0.018257
SERPINB8	4	0.22776	0.35103	1.0	192	2	-0.057151	0.20737	0.30789	1.0	176	2	-0.057151
SLC7A1	3	0.22852	0.32857	1.0	193	1	-0.05645	0.5832	0.61327	1.0	353	1	-0.05645
candidate697	5	0.22978	0.379	1.0	194	1	-0.18676	0.77433	0.80408	1.0	430	1	-0.18676
candidate558	6	0.23406	0.45372	1.0	195	1	0.1612	0.078147	0.2	0.94398	102	4	0.1612
candidate775	5	0.23543	0.38216	1.0	196	2	-0.15881	0.68951	0.74209	1.0	394	1	-0.15881
AKT1	3	0.24172	0.33934	1.0	197	1	0.053845	0.50246	0.53608	1.0	328	1	0.053845
USP24	5	0.24407	0.39827	1.0	198	2	0.015164	0.048729	0.12829	0.900437	65	1	0.015164
candidate673	6	0.24458	0.46369	1.0	199	3	-0.38976	0.89257	0.9078	1.0	486	1	-0.38976
candidate677	5	0.24703	0.39828	1.0	200	2	-0.10856	0.4858	0.63393	1.0	318	1	-0.10856
candidate60	3	0.24706	0.34415	1.0	201	1	-0.19471	0.82618	0.82508	1.0	456	0	-0.19471
candidate787	4	0.24814	0.37925	1.0	202	2	-0.0090899	0.13412	0.21948	0.94398	141	2	-0.0090899
candidate799	4	0.24879	0.37925	1.0	203	2	-0.12319	0.90817	0.90594	1.0	496	0	-0.12319
candidate91	6	0.24886	0.4637	1.0	204	3	-0.34088	0.97029	0.96961	1.0	524	0	-0.34088
candidate728	5	0.2509	0.40197	1.0	205	1	-0.05645	0.21833	0.35937	1.0	183	2	-0.05645
EIF3G	4	0.25314	0.38342	1.0	206	1	-0.99639	0.91388	0.91293	1.0	498	0	-0.99639
candidate594	4	0.25564	0.38343	1.0	207	1	0.31809	0.094582	0.17385	0.922231	117	2	0.31809
candidate509	4	0.25925	0.39164	1.0	208	2	-0.34739	0.62591	0.66373	1.0	370	1	-0.34739
candidate962	4	0.26001	0.39164	1.0	209	1	0.24388	0.33149	0.47277	1.0	247	2	0.24388
candidate99	6	0.26173	0.4667	1.0	210	1	0.2893	0.082174	0.20885	0.94398	106	4	0.2893
candidate643	6	0.26355	0.46671	1.0	211	1	0.033279	0.436	0.61666	1.0	290	2	0.033279
candidate784	5	0.26432	0.40382	1.0	212	2	-0.36467	0.98783	0.98753	1.0	546	0	-0.36467
candidate957	5	0.26473	0.40567	1.0	213	1	0.20802	0.32726	0.49968	1.0	245	2	0.20802
candidate690	3	0.26815	0.35891	1.0	214	1	0.16381	0.55757	0.59253	1.0	344	1	0.16381
candidate739	6	0.2717	0.4735	1.0	215	2	-0.047527	0.83585	0.86566	1.0	462	1	-0.047527
candidate794	3	0.27195	0.35892	1.0	216	1	-0.12175	0.54246	0.56903	1.0	342	1	-0.12175
candidate795	5	0.27273	0.41167	1.0	217	2	0.23195	0.25938	0.39925	1.0	205	2	0.23195
candidate7	5	0.27273	0.41167	1.0	218	2	-0.82851	0.89904	0.89863	1.0	490	0	-0.82851
candidate990	4	0.27421	0.407	1.0	219	2	-0.29961	0.63037	0.66811	1.0	372	1	-0.29961
TGFB1	5	0.27609	0.42675	1.0	220	2	-0.30971	0.82187	0.83553	1.0	452	1	-0.30971
TSSNF1	3	0.27667	0.36364	1.0	221	1	-0.20958	0.9271	0.92684	1.0	505	0	-0.20958
candidate798	4	0.2771	0.407	1.0	222	2	-0.070235	0.67713	0.70558	1.0	389	1	-0.070235
candidate729	5	0.27755	0.43584	1.0	223	2	-0.095787	0.49996	0.64957	1.0	324	1	-0.095787
GRIA1	4	0.28177	0.41458	1.0	224	2	-0.33715	0.66356	0.70173	1.0	381	1	-0.33715
candidate5	4	0.28913	0.425	1.0	225	2	0.15619	0.15876	0.26325	1.0	155	1	0.15619
candidate541	4	0.29148	0.425	1.0	226	2	-0.11194	0.74485	0.75869	1.0	415	1	-0.11194
candidate780	4	0.29243	0.42501	1.0	227	1	-0.49478	0.31031	0.45347	1.0	236	1	-0.49478
candidate563	5	0.29323	0.43585	1.0	228	1	-0.040181	0.90804	0.90647	1.0	495	0	-0.040181
candidate547	5	0.29323	0.43585	1.0	229	2	-0.13606	0.81261	0.82517	1.0	442	1	-0.13606
candidate769	3	0.29443	0.37821	1.0	230	1	0.068482	0.46367	0.50833	1.0	304	1	0.068482
candidate593	5	0.29737	0.44746	1.0	231	2	0.034775	0.0087412	0.016543	0.771212	15	2	0.034775
THADA	5	0.29737	0.44746	1.0	232	2	-0.098375	0.02413	0.073653	0.900437	42	2	-0.098375
FHOD3	5	0.29985	0.45907	1.0	233	1	0.19153	0.21624	0.35937	1.0	180	1	0.19153
candidate578	4	0.30191	0.4352	1.0	234	2	0.026372	0.0007795	0.0015597	0.356566	2	2	0.026372
candidate97	4	0.30259	0.4352	1.0	235	2	-0.19024	0.85011	0.85034	1.0	470	0	-0.19024
RPS9	5	0.30351	0.45907	1.0	236	2	-0.10454	0.28037	0.42109	1.0	213	2	-0.10454
candidate50	6	0.30446	0.47966	1.0	237	2	-0.070021	0.3578	0.56323	1.0	261	1	-0.070021
candidate577	4	0.30462	0.43521	1.0	238	2	-0.17956	0.9716	0.96995	1.0	529	0	-0.17956
candidate659	4	0.30498	0.43521	1.0	239	1	-0.064497	0.077908	0.14513	0.900437	101	2	-0.064497
candidate56	5	0.30715	0.45907	1.0	240	1	0.57175	0.033985	0.094766	0.900437	54	4	0.57175
TSSE2F2	2	0.3075	0.34038	1.0	241	1	-0.37806	0.66052	0.66416	1.0	380	0	-0.37806
BCL6B	2	0.31946	0.35055	1.0	242	1	-0.49069	0.77191	0.76583	1.0	427	0	-0.49069
candidate790	5	0.32387	0.46722	1.0	243	2	-0.2899	0.92122	0.92595	1.0	503	0	-0.2899
candidate706	5	0.32387	0.46722	1.0	244	2	-0.35617	0.074663	0.15975	0.916936	97	1	-0.35617
PLXNB2	4	0.32726	0.46261	1.0	245	1	0.17828	0.28846	0.43734	1.0	219	2	0.17828
candidate523	6	0.32931	0.51222	1.0	246	2	-0.215	0.051491	0.12333	0.900437	68	1	-0.215
TSSCLEC2B	3	0.32952	0.40329	1.0	247	1	-0.046835	0.52843	0.55496	1.0	337	1	-0.046835
C1R	3	0.33086	0.4033	1.0	248	1	0.014863	0.20516	0.33126	1.0	175	1	0.014863
candidate978	4	0.33218	0.47611	1.0	249	2	-0.23774	0.30498	0.45346	1.0	228	1	-0.23774
candidate602	5	0.33289	0.48298	1.0	250	2	0.16321	0.061768	0.15301	0.900437	84	1	0.16321
