ID	Gene	week0.1	week0.2	week4.1	week4.2
DNAH6_9	DNAH6	4	5	4	4
DNAH6_10	DNAH6	8	7	7	9
DSCAML1_1	DSCAML1	77	57	44	69
DSCAML1_2	DSCAML1	33	34	33	52
DSCAML1_4	DSCAML1	21	29	19	20
DSCAML1_7	DSCAML1	7	17	21	12
DTNB_1	DTNB	140	121	150	140
DTNB_2	DTNB	35	39	32	35
DTNB_3	DTNB	10	19	8	15
DTNB_4	DTNB	65	45	72	70
DTNB_5	DTNB	6	7	5	10
E2F2_1	E2F2	3	17	16	14
E2F2_2	E2F2	7	4	7	3
E2F2_3	E2F2	4	13	7	17
EHMT2_1	EHMT2	21	17	17	13
EHMT2_5	EHMT2	136	113	90	39
EIF2AK4_1	EIF2AK4	59	71	60	80
EIF2AK4_2	EIF2AK4	31	43	35	76
EIF2AK4_3	EIF2AK4	57	67	87	64
EIF2AK4_9	EIF2AK4	43	60	37	75
EIF3G_1	EIF3G	15	28	17	11
EIF3G_3	EIF3G	1	1	0	0
EIF3G_4	EIF3G	1	4	0	1
EIF3G_5	EIF3G	29	20	16	14
EIF5B_1	EIF5B	36	42	43	39
EIF5B_2	EIF5B	43	34	50	61
EIF5B_3	EIF5B	0	3	0	0
EIF5B_4	EIF5B	27	21	26	20
EIF5B_5	EIF5B	7	11	21	15
ENDOD1_1	ENDOD1	1	3	1	4
ENDOD1_2	ENDOD1	62	75	58	80
ENDOD1_3	ENDOD1	14	23	24	47
ENDOD1_5	ENDOD1	17	11	19	31
ENDOD1_7	ENDOD1	1	0	0	4
EPC1_1	EPC1	23	33	38	35
EPC1_4	EPC1	8	9	13	6
EPC1_5	EPC1	17	12	14	16
EPHA2_1	EPHA2	65	62	81	64
EPHA2_3	EPHA2	1	5	1	10
EPHA2_4	EPHA2	3	6	15	13
EPHA2_5	EPHA2	20	25	42	30
ERCC1_1	ERCC1	13	27	25	7
ERCC1_2	ERCC1	6	8	4	2
ERCC1_4	ERCC1	50	39	42	33
ETV6_1	ETV6	3	9	4	1
ETV6_2	ETV6	17	17	40	25
ETV6_3	ETV6	12	15	14	11
ETV6_4	ETV6	35	39	23	46
ETV6_5	ETV6	100	125	70	118
FAM188A_1	FAM188A	29	36	51	39
FAM188A_2	FAM188A	47	53	43	69
FAM188A_3	FAM188A	21	27	20	19
FAM188A_4	FAM188A	28	20	43	14
FBN1_1	FBN1	151	151	200	141
FBN1_2	FBN1	37	56	45	88
FBN1_4	FBN1	4	8	6	18
FBN1_7	FBN1	19	26	43	27
FBXL7_1	FBXL7	12	12	12	22
FBXL7_2	FBXL7	29	51	48	38
FBXL7_4	FBXL7	0	2	0	7
FBXL7_7	FBXL7	3	6	2	2
FBXL7_8	FBXL7	40	38	49	21
FHOD3_1	FHOD3	6	27	9	4
FHOD3_3	FHOD3	11	19	27	31
FHOD3_5	FHOD3	45	42	42	86
FHOD3_8	FHOD3	44	48	28	76
FHOD3_10	FHOD3	8	14	10	6
FSIP1_1	FSIP1	21	41	24	21
FSIP1_2	FSIP1	42	51	60	59
FSIP1_4	FSIP1	154	154	150	194
FSIP1_5	FSIP1	21	37	22	37
FSIP1_7	FSIP1	45	51	82	81
GALNT5_1	GALNT5	25	39	47	47
GALNT5_2	GALNT5	37	59	81	54
GALNT5_3	GALNT5	20	25	28	35
GALNT5_4	GALNT5	8	2	6	3
GALNT5_5	GALNT5	43	43	42	51
GALNT5_8	GALNT5	22	33	33	34
GLTSCR2_1	GLTSCR2	21	17	6	16
GLTSCR2_4	GLTSCR2	22	11	13	9
GLTSCR2_5	GLTSCR2	8	12	15	29
GRIA1_1	GRIA1	51	28	43	55
GRIA1_2	GRIA1	13	27	11	19
GRIA1_3	GRIA1	21	24	31	49
GRIA1_4	GRIA1	0	2	0	2
GRIA1_5	GRIA1	9	7	6	5
GRIA2_1	GRIA2	9	7	10	1
GRIA2_2	GRIA2	57	53	24	44
GRIA2_3	GRIA2	3	6	7	8
H19_1	H19	86	100	132	155
H19_2	H19	43	58	45	42
H19_4	H19	16	23	15	41
H19_9	H19	75	63	96	71
H19_10	H19	9	18	12	18
HNRNPM_1	HNRNPM	24	13	24	22
HNRNPM_2	HNRNPM	3	5	4	3
HNRNPM_3	HNRNPM	60	44	44	52
HNRNPM_4	HNRNPM	6	6	5	3
IK_1	IK	11	19	13	13
IK_3	IK	13	16	15	18
IK_4	IK	52	51	62	39
ING5_1	ING5	10	13	5	6
ING5_3	ING5	17	11	35	20
ING5_4	ING5	24	26	33	42
ING5_5	ING5	1	2	2	9
KARS_1	KARS	18	23	7	28
KARS_2	KARS	5	5	0	5
KARS_3	KARS	57	54	38	42
KEAP1_1	KEAP1	9	11	24	12
KEAP1_2	KEAP1	90	86	86	108
KEAP1_3	KEAP1	23	17	29	31
KEAP1_5	KEAP1	26	26	24	24
LATS1_1	LATS1	44	43	95	44
LATS1_2	LATS1	7	20	2	28
LATS1_4	LATS1	10	14	1	6
LATS1_5	LATS1	14	8	26	16
LCP1_1	LCP1	42	43	31	55
LCP1_3	LCP1	19	22	12	12
LCP1_5	LCP1	0	5	0	2
MEOX1_1	MEOX1	64	55	78	78
MEOX1_3	MEOX1	10	31	49	32
MEOX1_4	MEOX1	49	39	47	42
MEOX1_8	MEOX1	17	21	32	20
MSMO1_1	MSMO1	10	15	8	14
MSMO1_2	MSMO1	50	42	71	65
MSMO1_4	MSMO1	44	50	70	69
NF1_1	NF1	8	25	26	10
NF1_2	NF1	0	1	0	0
NF1_3	NF1	56	50	29	43
NF1_4	NF1	6	17	5	14
NF1_5	NF1	6	5	1	12
NFE2L2_1	NFE2L2	28	52	20	48
NFE2L2_2	NFE2L2	4	7	1	4
NFE2L2_4	NFE2L2	2	5	6	4
NHP2L1_1	NHP2L1	31	42	35	20
NHP2L1_2	NHP2L1	1	8	7	7
NHP2L1_4	NHP2L1	11	2	13	4
NHP2L1_5	NHP2L1	6	6	17	1
OR5V1_1	OR5V1	26	28	19	30
OR5V1_3	OR5V1	15	19	19	17
OR5V1_4	OR5V1	24	19	26	11
OR5V1_5	OR5V1	9	16	22	44
OSBPL3_1	OSBPL3	54	73	50	50
OSBPL3_2	OSBPL3	93	100	124	116
OSBPL3_4	OSBPL3	0	0	0	0
OSBPL3_5	OSBPL3	4	13	2	6
OSBPL3_7	OSBPL3	8	3	9	7
OSBPL3_8	OSBPL3	52	30	46	66
OSBPL3_10	OSBPL3	25	19	16	30
OVCH2_1	OVCH2	130	113	100	132
OVCH2_2	OVCH2	10	17	26	25
OVCH2_4	OVCH2	170	176	225	213
PAX5_1	PAX5	68	53	74	58
PAX5_2	PAX5	30	48	47	33
PAX5_5	PAX5	52	46	73	38
PCDHGC4_1	PCDHGC4	9	13	12	29
PCDHGC4_2	PCDHGC4	6	6	10	2
PCDHGC4_4	PCDHGC4	54	55	42	47
PEAK1_1	PEAK1	178	207	221	215
PEAK1_3	PEAK1	197	200	328	261
PEAK1_7	PEAK1	188	154	215	189
PEAK1_8	PEAK1	214	195	250	220
PIK3CG_1	PIK3CG	95	69	98	66
PIK3CG_4	PIK3CG	68	60	74	97
PIK3CG_8	PIK3CG	19	33	21	27
PLK1_1	PLK1	14	5	2	8
PLK1_2	PLK1	0	0	1	0
PLK1_3	PLK1	4	0	1	0
PLK1_4	PLK1	35	22	19	10
PLXNB2_1	PLXNB2	4	11	1	3
PLXNB2_2	PLXNB2	79	77	86	80
PLXNB2_4	PLXNB2	29	14	40	28
PLXNB2_5	PLXNB2	7	4	14	6
PPAP2C_1	PPAP2C	15	25	28	13
PPAP2C_2	PPAP2C	4	12	1	7
PPAP2C_3	PPAP2C	18	11	8	20
PPAP2C_4	PPAP2C	3	4	1	8
PPAP2C_5	PPAP2C	12	24	11	21
PPIL2_1	PPIL2	27	12	19	13
PPIL2_2	PPIL2	14	23	5	0
PPIL2_3	PPIL2	12	30	11	35
PPIL2_4	PPIL2	4	3	1	0
PPP1R2P9_1	PPP1R2P9	66	75	89	79
PPP1R2P9_2	PPP1R2P9	45	56	53	59
PPP1R2P9_3	PPP1R2P9	13	11	9	11
PPP1R2P9_4	PPP1R2P9	35	53	38	44
PPP1R2P9_10	PPP1R2P9	90	93	156	74
PRDM1_1	PRDM1	40	63	25	56
PRDM1_3	PRDM1	8	12	8	3
PTCH1_1	PTCH1	35	22	25	27
PTCH1_2	PTCH1	63	37	74	19
PTCH1_3	PTCH1	12	13	6	7
PTCH1_4	PTCH1	7	9	3	7
PTCH1_5	PTCH1	9	7	14	4
PTEN_1	PTEN	22	46	18	54
PTEN_3	PTEN	0	0	0	0
PTEN_5	PTEN	21	22	22	8
PTEN_6	PTEN	0	0	0	0
PTEN_10	PTEN	2	11	8	2
RAMP1_1	RAMP1	0	0	0	0
RAMP1_2	RAMP1	20	34	40	27
RAMP1_3	RAMP1	4	4	5	5
RAMP1_4	RAMP1	121	84	64	44
RAMP1_6	RAMP1	27	28	35	15
RAMP1_8	RAMP1	0	0	0	0
RAMP1_9	RAMP1	27	18	28	12
RB1_1	RB1	6	27	20	37
RB1_2	RB1	54	44	66	61
RB1_3	RB1	79	98	112	129
RB1_5	RB1	1	6	0	4
RBM5_1	RBM5	4	11	10	23
RBM5_2	RBM5	27	22	30	23
RBM5_3	RBM5	15	37	22	58
RBM5_4	RBM5	23	26	17	32
RBM5_5	RBM5	4	6	4	4
RNF43_1	RNF43	39	19	31	19
RNF43_3	RNF43	1	3	18	7
RNF43_4	RNF43	5	8	2	5
RNF43_5	RNF43	16	11	34	6
RNF111_1	RNF111	28	26	28	37
RNF111_3	RNF111	10	24	8	19
RNF111_4	RNF111	0	1	0	1
RNF111_5	RNF111	53	35	56	55
RNF111_8	RNF111	20	51	21	55
RPL3_1	RPL3	24	19	41	26
RPL3_3	RPL3	12	5	10	4
RPL3_4	RPL3	33	32	35	15
RPL3_7	RPL3	34	52	51	53
RPL3_8	RPL3	24	30	28	41
RPL3_10	RPL3	0	2	0	1
RPL5_1	RPL5	78	94	49	148
RPL5_3	RPL5	32	42	49	43
RPL5_4	RPL5	38	31	34	46
RPL5_9	RPL5	1	6	4	9
RPL5_10	RPL5	7	20	6	6
RPL8_1	RPL8	44	19	20	26
RPL8_3	RPL8	22	20	9	3
RPL8_4	RPL8	4	5	7	2
RPL8_5	RPL8	66	40	42	5
RPL8_6	RPL8	15	26	22	25
RPL8_8	RPL8	28	37	14	30
RPL8_10	RPL8	85	87	95	86
RPL13_1	RPL13	8	8	2	3
RPL13_4	RPL13	3	10	4	13
RPL13_5	RPL13	11	7	5	13
RPL13_6	RPL13	7	6	15	4
RPL13_10	RPL13	132	146	147	158
RPL14_1	RPL14	42	38	31	58
RPL14_3	RPL14	23	35	37	53
RPL14_5	RPL14	9	14	16	12
RPL14_7	RPL14	102	122	99	157
RPL14_8	RPL14	1	2	0	3
RPL18A_1	RPL18A	9	5	15	15
RPL18A_2	RPL18A	119	93	118	91
RPL18A_4	RPL18A	0	9	9	6
RPL18A_10	RPL18A	4	11	3	7
RPL21_1	RPL21	68	52	65	39
RPL21_2	RPL21	153	172	175	156
RPL21_3	RPL21	64	40	87	70
RPL21_6	RPL21	8	9	4	8
RPL21_10	RPL21	24	38	47	29
RPL23A_1	RPL23A	96	138	87	81
RPL23A_5	RPL23A	62	69	70	72
RPL23A_9	RPL23A	7	6	12	8
RPL23A_10	RPL23A	13	25	17	19
RPL23_1	RPL23	109	79	72	88
RPL23_2	RPL23	39	31	25	52
RPL23_9	RPL23	36	22	29	42
RPL30_1	RPL30	47	70	52	56
RPL30_3	RPL30	77	84	84	80
RPL30_10	RPL30	8	18	7	15
RPL34_1	RPL34	102	44	104	55
RPL34_2	RPL34	95	120	103	112
RPL34_6	RPL34	18	19	21	25
RPL34_7	RPL34	8	14	11	7
RPL37A_1	RPL37A	37	59	39	51
RPL37A_3	RPL37A	12	13	20	22
RPL37A_5	RPL37A	1	4	6	4
RPL37A_6	RPL37A	3	5	9	4
RPL37A_10	RPL37A	1	5	4	1
RPL37_1	RPL37	71	63	48	61
RPL37_4	RPL37	18	41	31	19
RPL37_8	RPL37	4	8	9	9
RPL37_10	RPL37	37	40	38	51
RPL39_1	RPL39	36	48	52	69
RPL39_5	RPL39	14	15	16	21
RPL39_10	RPL39	18	19	24	12
RPS3A_1	RPS3A	134	144	112	187
RPS3A_3	RPS3A	0	2	0	1
RPS3A_7	RPS3A	19	14	19	24
RPS3A_10	RPS3A	43	45	32	73
RPS6_1	RPS6	90	58	73	53
RPS6_2	RPS6	226	195	181	224
RPS6_6	RPS6	9	12	33	10
RPS6_7	RPS6	1	5	2	5
RPS6_10	RPS6	45	54	27	52
RPS7_1	RPS7	96	65	98	61
RPS7_2	RPS7	105	99	96	91
RPS7_4	RPS7	11	18	6	16
RPS7_5	RPS7	15	23	9	12
RPS7_7	RPS7	67	50	68	38
RPS9_1	RPS9	39	40	24	22
RPS9_3	RPS9	39	35	59	33
RPS9_5	RPS9	6	8	4	5
RPS9_7	RPS9	18	31	18	27
RPS9_10	RPS9	25	37	38	29
RPS15A_1	RPS15A	51	49	34	31
RPS15A_3	RPS15A	3	2	1	1
RPS15A_4	RPS15A	9	11	4	40
RPS19_1	RPS19	14	22	7	16
RPS19_2	RPS19	6	11	10	3
RPS19_7	RPS19	3	6	7	4
RPS19_10	RPS19	116	107	130	65
RPS26_1	RPS26	20	16	23	19
RPS26_2	RPS26	27	21	21	28
RPS26_3	RPS26	23	36	19	33
RPS26_10	RPS26	12	13	5	11
RPSA_1	RPSA	0	0	0	0
RPSA_4	RPSA	0	0	0	0
RPSA_7	RPSA	34	42	27	18
RPSA_10	RPSA	18	35	35	13
RRM2B_1	RRM2B	8	17	11	36
RRM2B_4	RRM2B	12	5	4	5
RRM2B_5	RRM2B	2	11	5	10
RSL24D1_1	RSL24D1	176	141	203	173
RSL24D1_8	RSL24D1	0	0	0	0
RSL24D1_10	RSL24D1	47	49	21	50
SERPINB8_1	SERPINB8	30	33	44	44
SERPINB8_2	SERPINB8	18	21	13	19
SERPINB8_4	SERPINB8	5	8	0	3
SERPINB8_5	SERPINB8	10	15	20	14
SESN2_1	SESN2	14	15	15	21
SESN2_2	SESN2	13	18	15	23
SESN2_3	SESN2	23	23	10	17
SESN2_4	SESN2	0	0	1	0
SLC6A11_1	SLC6A11	19	28	36	38
SLC6A11_2	SLC6A11	35	31	35	44
SLC6A11_3	SLC6A11	86	104	103	102
SLC6A11_5	SLC6A11	15	30	29	27
SLC6A11_6	SLC6A11	1	3	5	5
SLC6A11_10	SLC6A11	19	15	14	27
SLC7A1_1	SLC7A1	7	15	2	14
SLC7A1_2	SLC7A1	16	16	24	17
SLC7A1_4	SLC7A1	1	3	1	6
SLC24A1_1	SLC24A1	16	12	39	22
SLC24A1_3	SLC24A1	5	11	3	14
SLC24A1_4	SLC24A1	4	4	10	4
SLC24A1_5	SLC24A1	24	11	37	10
SMAD4_1	SMAD4	16	25	14	9
SMAD4_2	SMAD4	85	49	72	66
SMAD4_4	SMAD4	16	43	8	17
SNAPC5_1	SNAPC5	8	15	12	10
SNAPC5_2	SNAPC5	28	31	26	35
SNAPC5_3	SNAPC5	12	17	14	6
SNRNP200_1	SNRNP200	163	112	37	38
SNRNP200_2	SNRNP200	1	3	0	1
SNRNP200_5	SNRNP200	6	4	6	1
SPHK1_1	SPHK1	50	44	70	35
SPHK1_4	SPHK1	20	20	3	22
SRGAP2_1	SRGAP2	7	6	1	2
SRGAP2_2	SRGAP2	24	33	16	31
SRGAP2_3	SRGAP2	21	28	26	29
SRGAP2_4	SRGAP2	25	34	27	25
STK11_1	STK11	8	24	21	26
STK11_2	STK11	27	23	43	28
STK11_5	STK11	10	6	5	12
TGFB1_1	TGFB1	39	30	51	24
TGFB1_2	TGFB1	5	8	0	14
TGFB1_3	TGFB1	14	21	12	17
TGFB1_4	TGFB1	12	15	16	11
TGFB1_5	TGFB1	3	5	2	13
TGFBR2_1	TGFBR2	3	7	2	3
TGFBR2_2	TGFBR2	2	3	1	1
TGFBR2_3	TGFBR2	21	16	34	16
TGFBR2_5	TGFBR2	36	40	29	21
THADA_1	THADA	76	77	108	130
THADA_3	THADA	11	25	40	33
THADA_5	THADA	8	8	8	10
THADA_7	THADA	2	16	0	7
THADA_9	THADA	15	14	6	16
TP53_1	TP53	6	11	22	18
TP53_3	TP53	20	38	42	47
TP53_5	TP53	8	20	8	23
TRHR_1	TRHR	119	130	153	154
TRHR_2	TRHR	98	71	120	92
TRHR_3	TRHR	3	12	4	15
TRHR_5	TRHR	3	5	7	6
TRHR_6	TRHR	0	6	2	2
TRHR_8	TRHR	0	10	0	12
TSSAAVS1_0_1	TSSAAVS1	12	4	20	11
TSSAAVS1_5_1	TSSAAVS1	22	25	17	14
TSSAAVS1_8_1	TSSAAVS1	27	34	26	35
TSSAAVS1_11_1	TSSAAVS1	3	1	0	0
TSSAAVS1_22_1	TSSAAVS1	2	16	1	2
TSSAAVS1_33_1	TSSAAVS1	9	17	10	23
TSSAAVS1_36_1	TSSAAVS1	13	27	27	31
TSSAAVS1_40_1	TSSAAVS1	2	5	2	4
TSSAAVS1_42_1	TSSAAVS1	6	10	1	14
TSSAAVS1_49_1	TSSAAVS1	81	65	49	48
TSSAAVS1_53_1	TSSAAVS1	54	43	45	53
TSSAAVS1_57_1	TSSAAVS1	91	68	78	80
TSSAAVS1_58_1	TSSAAVS1	3	1	1	6
TSSAAVS1_63_1	TSSAAVS1	20	21	27	19
TSSAAVS1_64_1	TSSAAVS1	0	4	0	1
TSSAAVS1_75_1	TSSAAVS1	18	12	26	14
TSSAAVS1_105_1	TSSAAVS1	2	9	0	7
TSSAAVS1_129_1	TSSAAVS1	3	1	2	1
TSSAAVS1_134_1	TSSAAVS1	0	4	0	2
TSSAAVS1_139_1	TSSAAVS1	0	0	0	0
TSSABCA13_1_1	TSSABCA13	1	4	1	3
TSSABCA13_2_1	TSSABCA13	7	10	13	4
TSSABCA13_3_1	TSSABCA13	28	24	21	36
TSSABCA13_5_1	TSSABCA13	7	12	17	5
TSSADAM17_1_1	TSSADAM17	35	43	37	45
TSSADAM17_4_1	TSSADAM17	8	3	5	8
TSSADAM17_5_1	TSSADAM17	34	27	34	48
TSSADAT1_1_1	TSSADAT1	41	43	46	46
TSSADAT1_4_1	TSSADAT1	10	14	6	10
TSSAKT1_1_1	TSSAKT1	1	7	1	5
TSSAKT1_2_1	TSSAKT1	1	3	1	8
TSSAKT1_3_1	TSSAKT1	26	33	30	43
TSSAKT1_4_1	TSSAKT1	12	12	16	12
TSSALDH16A1_1_1	TSSALDH16A1	69	51	67	68
TSSALDH16A1_2_1	TSSALDH16A1	30	59	43	45
TSSATM_1_1	TSSATM	77	75	111	113
TSSATP7A_1_1	TSSATP7A	123	145	144	157
TSSATP7A_4_1	TSSATP7A	89	72	104	91
TSSATP7B_1_1	TSSATP7B	57	79	77	64
TSSATP7B_3_1	TSSATP7B	1	6	1	3
TSSATP7B_5_1	TSSATP7B	6	12	5	4
TSSATR_1_1	TSSATR	5	6	4	4
TSSATR_2_1	TSSATR	1	3	0	9
TSSATR_3_1	TSSATR	35	19	31	23
TSSATR_5_1	TSSATR	17	17	3	14
TSSBCL2L1_1_1	TSSBCL2L1	10	20	8	12
TSSBCL2L1_3_1	TSSBCL2L1	67	29	45	52
TSSBCL6B_1_1	TSSBCL6B	19	24	4	20
TSSBCL6B_2_1	TSSBCL6B	0	6	1	2
TSSBCL6B_3_1	TSSBCL6B	12	15	23	12
TSSBECN1_1_1	TSSBECN1	125	125	109	129
TSSBECN1_3_1	TSSBECN1	16	29	9	9
TSSBECN1_5_1	TSSBECN1	3	11	2	6
TSSBRCA2_1_1	TSSBRCA2	49	52	42	41
TSSBRCA2_2_1	TSSBRCA2	23	9	20	10
TSSBRCA2_3_1	TSSBRCA2	11	22	15	10
TSSBRCA2_5_1	TSSBRCA2	7	246	12	13
TSSC1R_1_1	TSSC1R	82	55	91	64
TSSC1R_2_1	TSSC1R	54	72	45	100
TSSC1R_3_1	TSSC1R	3	5	1	1
TSSCADM1_1_1	TSSCADM1	13	4	8	6
TSSCADM1_2_1	TSSCADM1	50	44	24	53
TSSCADM1_3_1	TSSCADM1	11	17	27	27
TSSCADM1_4_1	TSSCADM1	3	1	1	5
TSSCCND1_1_1	TSSCCND1	26	28	19	45
TSSCCND1_2_1	TSSCCND1	4	4	1	3
